Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,71.599998,72.970001,68.449997,72.150002,66.473038,197340400
2015-01-01,72.529999,72.650002,68.500000,69.989998,64.750298,157304800
2015-02-01,70.169998,76.519997,69.059998,75.970001,70.282608,106386900
2015-03-01,76.019997,77.129997,74.230003,75.349998,69.709030,143767600
2015-04-01,75.180000,77.889999,74.529999,75.309998,69.906036,111585600
2015-05-01,75.690002,77.250000,75.029999,76.300003,70.824997,114444800
2015-06-01,76.370003,78.309998,75.440002,76.480003,70.992058,114958500
2015-07-01,77.129997,80.529999,76.139999,80.220001,74.700371,100909600
2015-08-01,80.059998,80.610001,66.000000,74.980003,69.820892,190112000
2015-09-01,73.339996,78.129997,71.860001,74.260002,69.150414,157651900
2015-10-01,74.300003,81.510002,73.550003,80.970001,75.682915,151693400
2015-11-01,81.260002,81.900002,77.260002,80.779999,75.505341,130296300
2015-12-01,81.220001,81.750000,77.190002,78.160004,73.056389,169143800
2016-01-01,76.779999,77.150002,68.940002,74.110001,69.557381,225619600
2016-02-01,73.680000,75.430000,67.589996,74.440002,69.867126,197882200
2016-03-01,75.089996,79.389999,74.839996,79.099998,74.240868,146634000
2016-04-01,78.599998,80.459999,77.250000,79.199997,74.640663,119297400
2016-05-01,79.419998,80.540001,76.650002,79.239998,74.678368,117614600
2016-06-01,78.870003,79.750000,74.180000,78.059998,73.566307,135186700
2016-07-01,78.139999,82.029999,77.739998,81.620003,77.194374,91139900
2016-08-01,81.620003,82.379997,80.089996,80.559998,76.191833,84683200
2016-09-01,80.650002,81.190002,78.010002,80.040001,75.700020,120470900
2016-10-01,79.730003,80.410004,77.750000,78.099998,74.146858,111763300
2016-11-01,78.300003,83.070000,76.610001,81.849998,77.707054,146203900
2016-12-01,81.779999,84.680000,81.150002,81.400002,77.279831,120898800
2017-01-01,82.050003,85.639999,81.379997,84.830002,81.013062,102849300
2017-02-01,84.970001,87.320000,84.070000,86.370003,82.483757,75076600
2017-03-01,87.300003,88.169998,85.650002,87.949997,83.992645,92507700
2017-04-01,87.959999,90.779999,86.550003,90.059998,86.264992,77131600
2017-05-01,90.260002,91.089996,88.129997,91.050003,87.213295,93999800
2017-06-01,91.279999,92.419998,88.459999,89.629997,85.853127,105704600
2017-07-01,89.879997,92.550003,88.349998,91.360001,87.777107,70270500
2017-08-01,91.629997,91.769997,87.889999,89.660004,86.143784,92489800
2017-09-01,89.889999,90.699997,88.910004,90.080002,86.547287,81672700
2017-10-01,90.190002,92.449997,90.059998,91.989998,88.695084,90574700
2017-11-01,92.290001,97.050003,91.000000,96.650002,93.188179,85663500
2017-12-01,96.550003,99.430000,95.250000,98.690002,95.155106,92268300
2018-01-01,99.110001,109.339996,99.110001,107.809998,104.302231,105705600
2018-02-01,107.139999,107.989998,97.099998,104.070000,100.683914,184978700
2018-03-01,104.180000,107.400002,99.180000,101.290001,97.994377,129228000
2018-04-01,100.680000,105.250000,97.480003,103.699997,100.621330,127577000
